(B6)1,(B5)1,(B5)1,(B5)1,(B5)1,(B5)1,(B5)1,0,0,(B4)1,(B4)1,(B3)1,(B3)1,0,(B2)1,(B2)1,0,(B1)1,(B1)1,0,0,0,(A6)1,(A6)1,(A5)1,(A5)1,(A5)1,(A5)1,(A5)1,(A5)1,(A5)1,(A5)1,0,0,0,0,(A3)1,0,(A2)1,(A2)1,0,(A1)1,0,0
(B6)1,4,0,0,0,0,4,0,0,(B4)1,(B4)1,(B3)1,(B3)1,0,(B2)1,(B2)1,0,(B1)1,(B1)1,0,0,0,(A6)1,(A6)1,4,0,0,0,0,0,0,0,0,0,0,0,(A3)1,0,(A2)1,(A2)1,0,(A1)1,0,0
(B6)1,0,0,0,0,0,0,0,0,(B4)1,(B4)1,(B3)1,(B3)1,4,(B2)1,(B2)1,0,(B1)1,(B1)1,4,0,4,(A6)1,(A6)1,0,0,0,0,(A4)1,(A4)1,(A4)1,(A4)1,0,0,0,0,(A3)1,0,(A2)1,(A2)1,4,(A1)1,0,0
(B6)1,0,0,0,0,0,0,0,0,(B4)1,(B4)1,(B3)1,(B3)1,0,(B2)1,(B2)1,0,(B1)1,(B1)1,0,0,0,(A6)1,(A6)1,0,0,0,0,(A4)1,(A4)1,(A4)1,(A4)1,0,0,0,0,(A3)1,0,(A2)1,(A2)1,0,(A1)1,0,0
(B6)1,0,0,0,0,0,0,0,0,(B4)1,(B4)1,(B3)1,(B3)1,0,(B2)1,(B2)1,0,(B1)1,(B1)1,0,0,0,(A6)1,(A6)1,0,0,0,0,3,3,3,3,3,3,0,0,(A3)1,0,(A2)1,(A2)1,0,(A1)1,0,0
(B6)1,2,2,2,2,2,0,0,0,(B4)1,(B4)1,(B3)1,(B3)1,0,(B2)1,(B2)1,0,(B1)1,(B1)1,0,0,0,(A6)1,(A6)1,0,0,0,0,3,3,3,3,3,3,0,0,(A3)1,0,(A2)1,(A2)1,0,(A1)1,0,0
(B6)1,2,2,2,2,2,0,0,0,(B4)1,(B4)1,(B3)1,(B3)1,0,(B2)1,(B2)1,0,(B1)1,(B1)1,0,0,0,(A6)1,(A6)1,0,0,0,0,3,3,3,3,3,3,0,0,(A3)1,0,(A2)1,(A2)1,0,(A1)1,0,0
(B6)1,2,2,2,2,2,0,0,0,(B4)1,(B4)1,(B3)1,(B3)1,0,(B2)1,(B2)1,0,(B1)1,(B1)1,0,0,0,(A6)1,(A6)1,0,0,0,0,3,3,3,3,3,3,0,0,(A3)1,0,(A2)1,(A2)1,0,(A1)1,0,0
(B6)1,2,2,2,2,2,0,0,0,(B4)1,(B4)1,(B3)1,(B3)1,0,(B2)1,(B2)1,0,(B1)1,(B1)1,0,0,0,(A6)1,(A6)1,0,0,0,0,3,3,3,3,3,3,0,0,(A3)1,0,(A2)1,(A2)1,0,(A1)1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
