feature,importance
rolling_mean_30d,0.11614859952674562
rolling_mean_14d,0.10066394252973991
lag_7d,0.09012248329981778
avg_quantity,0.08847226469822296
lag_14d,0.0656624344549713
dow_cos,0.06524679157049601
rolling_std_30d,0.045104587581124636
cv,0.04497805237849249
rolling_std_14d,0.04420775319955962
rolling_mean_7d,0.043332763613710634
day_of_week,0.042643417225818235
dow_sin,0.03537636740813272
rolling_std_7d,0.03300406327927516
lag_1d,0.02592868171504932
rolling_max_14d,0.023075332110370904
rolling_max_30d,0.022621750456401104
lag_30d,0.022139479539613857
week_of_year,0.02212414724030821
rolling_max_7d,0.01999342758239623
month,0.0124754383675434
month_sin,0.011345993685032842
month_cos,0.01056538749446917
is_weekend,0.007942759151948111
is_month_end,0.003985573951861803
is_month_start,0.002838507938897969
order_frequency,0.0
