id_produit,forecasted_quantity,forecast_method,confidence_level,segment
31554,1628,Random Forest,HIGH,A_VERY_HIGH_FREQ_HIGH_VOL
35580,1293,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
35576,1205,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
34017,1170,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
34014,1091,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
34392,1024,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31731,966,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31461,945,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
34018,828,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31756,815,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31995,807,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
35578,797,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
44489,703,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31730,698,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31543,696,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31985,693,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
34393,600,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
35586,588,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31732,573,Random Forest,HIGH,A_VERY_HIGH_FREQ_HIGH_VOL
31858,530,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31662,516,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31737,511,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31986,503,Random Forest,HIGH,A_VERY_HIGH_FREQ_HIGH_VOL
34403,501,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
35595,485,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31473,485,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
44490,465,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31860,464,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
44486,461,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31766,453,Random Forest,HIGH,A_VERY_HIGH_FREQ_HIGH_VOL
31773,449,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31595,424,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
35596,406,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31565,387,Random Forest,HIGH,A_VERY_HIGH_FREQ_HIGH_VOL
31740,368,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31552,361,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31726,346,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
44485,322,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
32086,318,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
32088,311,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31686,310,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31556,307,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31992,305,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31866,300,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31993,296,Random Forest,HIGH,A_VERY_HIGH_FREQ_HIGH_VOL
32002,287,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
32087,280,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
32001,279,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31688,260,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31734,247,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31769,243,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31953,235,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31482,233,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
39907,232,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31449,220,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
39906,218,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31698,216,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31557,216,Random Forest,HIGH,A_VERY_HIGH_FREQ_HIGH_VOL
31484,215,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31848,211,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31727,200,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
34397,200,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31951,192,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31876,187,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31960,185,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31762,179,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31798,174,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
35997,172,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31563,172,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
39908,170,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
32089,167,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31757,166,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
35998,166,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31437,162,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31754,161,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
35593,160,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
39905,157,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31501,154,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
32076,150,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
44012,150,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
32000,149,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
36520,148,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31440,146,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
34408,143,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
32085,143,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31373,141,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31558,141,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31996,137,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31665,134,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31462,131,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
35585,123,Random Forest,HIGH,A_VERY_HIGH_FREQ_HIGH_VOL
31859,120,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31987,118,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31723,117,Random Forest,HIGH,A_VERY_HIGH_FREQ_HIGH_VOL
31584,117,Random Forest,HIGH,A_VERY_HIGH_FREQ_HIGH_VOL
31569,111,Random Forest,HIGH,A_VERY_HIGH_FREQ_HIGH_VOL
31510,111,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31940,111,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
32080,110,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
36155,109,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31453,108,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31850,103,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
34013,102,Random Forest,HIGH,A_VERY_HIGH_FREQ_HIGH_VOL
35584,100,Random Forest,HIGH,A_VERY_HIGH_FREQ_HIGH_VOL
32079,100,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31663,100,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31760,99,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
32084,99,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31725,95,Random Forest,HIGH,A_VERY_HIGH_FREQ_HIGH_VOL
31765,94,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31531,93,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
35574,91,Random Forest,HIGH,A_VERY_HIGH_FREQ_HIGH_VOL
31451,91,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31988,88,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31755,88,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31799,87,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31674,87,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31493,87,Random Forest,HIGH,A_VERY_HIGH_FREQ_HIGH_VOL
