id_produit,cree_le,categorie,colisage fardeau,colisage palette,volume pcs (m3),Is_Gerbable,quantite
31851,2025-03-12 00:00:00,MODULE,80,1800,0.037,True,80
31501,2025-03-12 00:00:00,DISPINA METALIC,120,2100,0.037,True,120
31501,2025-03-12 00:00:00,DISPINA METALIC,120,2100,0.037,True,480
31490,2025-03-12 00:00:00,DISPINA METALIC,80,2500,0.037,True,160
31496,2025-03-12 00:00:00,DISPINA METALIC,40,2100,0.037,True,40
31474,2025-03-12 00:00:00,DISPINA,50,2500,0.037,False,100
31472,2025-03-12 00:00:00,DISPINA,50,1100,0.037,False,100
31480,2025-03-12 00:00:00,DISPINA,30,1700,0.037,False,30
31960,2025-03-12 00:00:00,MODULE,60,2600,0.037,False,120
31952,2025-03-12 00:00:00,MODULE,60,1500,0.037,False,60
31953,2025-03-12 00:00:00,MODULE,60,1700,0.037,False,240
31898,2025-03-12 00:00:00,MODULE,80,2900,0.037,True,80
31484,2025-03-12 00:00:00,DISPINA METALIC,120,1900,0.037,True,840
31509,2025-03-12 00:00:00,DISPINA METALIC,120,2300,0.037,False,360
31499,2025-03-12 00:00:00,DISPINA METALIC,80,2400,0.037,True,80
32013,2025-03-12 00:00:00,STYLE,1,1900,0.025,False,5
34395,2025-03-12 00:00:00,ICON,32,1900,0.041,False,32
31584,2025-03-12 00:00:00,EVOLUTION PLUS,100,1700,0.034,False,500
31578,2025-03-12 00:00:00,EVOLUTION PLUS,100,2600,0.034,False,100
31723,2025-03-12 00:00:00,MONO ACCESSOIRES,200,3000,0.025,True,1400
31729,2025-03-12 00:00:00,MONO ACCESSOIRES,150,1500,0.034,True,1500
31732,2025-03-12 00:00:00,MONO ACCESSOIRES,200,1300,0.034,True,1000
31373,2025-03-12 00:00:00,MINI DISJONCTEUR,120,3000,0.026,False,240
31375,2025-03-12 00:00:00,MINI DISJONCTEUR,120,1400,0.018,True,120
31377,2025-03-12 00:00:00,MINI DISJONCTEUR,120,2700,0.018,True,120
31778,2025-03-12 00:00:00,SPOT,10,1900,0.07,True,50
31866,2025-03-12 00:00:00,MODULE,60,2900,0.037,True,420
31848,2025-03-12 00:00:00,MODULE,60,2200,0.037,True,240
31552,2025-03-12 00:00:00,EVOLUTION,80,2500,0.037,False,240
31587,2025-03-12 00:00:00,EVOLUTION PLUS,100,1500,0.034,False,300
