id_produit,date,segment,quantite_demande,forecast,method,forecast_original,calibration_factor
31551,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,100,189.15178373056415,XGBoost+LogTransform,159.6759490966797,1.184597835808307
31554,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,1000,536.5641464556504,XGBoost+LogTransform,452.9504699707031,1.184597835808307
31557,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,300,312.4514165961013,XGBoost+LogTransform,263.7615966796875,1.184597835808307
31565,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,1000,340.6338768576449,XGBoost+LogTransform,287.5523376464844,1.184597835808307
31569,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,400,282.7761165112305,XGBoost+LogTransform,238.7106475830078,1.184597835808307
31723,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,200,456.93258640201367,XGBoost+LogTransform,385.72802734375,1.184597835808307
31724,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,300,237.80640681648106,XGBoost+LogTransform,200.74864196777344,1.184597835808307
31725,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,300,671.2857238561776,XGBoost+LogTransform,566.6781616210938,1.184597835808307
31729,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,150,239.29076921694156,XGBoost+LogTransform,202.00169372558594,1.184597835808307
31730,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,120,163.93634917026245,XGBoost+LogTransform,138.38987731933594,1.184597835808307
31731,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,200,292.42073047982404,XGBoost+LogTransform,246.85232543945312,1.184597835808307
31732,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,600,401.77326747885235,XGBoost+LogTransform,339.1642761230469,1.184597835808307
31757,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,240,72.28659616075419,XGBoost+LogTransform,61.022056579589844,1.184597835808307
31985,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,80,131.87179861490372,XGBoost+LogTransform,111.3219985961914,1.184597835808307
31993,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,300,326.6009764573442,XGBoost+LogTransform,275.7062072753906,1.184597835808307
32000,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,40,60.82861805969845,XGBoost+LogTransform,51.34959411621094,1.184597835808307
32001,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,90,154.36636905884745,XGBoost+LogTransform,130.3112030029297,1.184597835808307
32002,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,90,93.23780567921183,XGBoost+LogTransform,78.70840454101562,1.184597835808307
32079,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,48,43.57007633413502,XGBoost+LogTransform,36.780479431152344,1.184597835808307
