,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0W-01-01,,,,0T-01-01,0R-01-01,,,,,0P-01-01,0M-01-01,,,,0I-01-01,0G-01-01,,,,0E-01-01,,,,0C-01-01,0A-01-01,,,,,,,,,,,,,,,,,
0W-01-02,,,,0T-01-02,0R-01-02,,,,,0P-01-02,0M-01-02,,,,0I-01-02,0G-01-02,,,,0E-01-02,,,,0C-01-02,0A-01-02,,,,,,,,,,,,,,,,,
0W-01-03,,,,0T-01-03,0R-01-03,,,,,0P-01-03,0M-01-03,,,,0I-01-03,0G-01-03,,,,0E-01-03,,,,0C-01-03,0A-01-03,,,,,,,,,,,,,,,,,
0W-02-01,,,,0T-02-01,0R-02-01,,,,,0P-02-01,0M-02-01,,,,0I-02-01,0G-02-01,,,,0E-02-01,,,,0C-02-01,0A-02-01,,,,,,,,,,,,,,,,,
0W-02-02,,,,0T-02-02,0R-02-02,,,,,0P-02-02,0M-02-02,,,,0I-02-02,0G-02-02,,,,0E-02-02,,,,0C-02-02,0A-02-02,,,,,,,,,,,,,,,,,
0W-02-03,,,,,0R-02-03,,,,,0P-02-03,,,,,0I-02-03,0G-02-03,,,,0E-02-03,,,,0C-02-03,,,,,,,,,,,,,,,,,,
0W-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0W-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0W-03-03,,,,0V-03-03,0S-03-03,,,,,0Q-03-03,0N-03-03,,,,0K-03-03,0H-03-03,,,,0F-03-03,0D-03-03,,,,0B-03-03,,,,,,,,,,,,,,,,,
0W-04-01,,,,0V-04-01,0S-04-01,,,,,0Q-04-01,0N-04-01,,,,0K-04-01,0H-04-01,,,,0F-04-01,0D-04-01,,,,0B-04-01,,,,,,,,,,,,,,,,,
0W-04-02,,,,0V-04-02,0S-04-02,,,,,0Q-04-02,0N-04-02,,,,0K-04-02,0H-04-02,,,,0F-04-02,0D-04-02,,,,0B-04-02,,,,,,,,,,,,,,,,,
0W-04-03,,,,,0S-04-03,,,,,0Q-04-03,,,,,0K-04-03,0H-04-03,,,,,0D-04-03,,,,0B-04-03,,,,,,,,,,,,,,,,,
0W-05-01,,,,0V-05-01,0S-05-01,,,,,0Q-05-01,0N-05-01,,,,0K-05-01,0H-05-01,,,,0F-05-01,0D-05-01,,,,0B-05-01,,,,,,,,,,,,,,,,,
0W-05-02,,,,0V-05-02,0S-05-02,,,,,0Q-05-02,0N-05-02,,,,0K-05-02,0H-05-02,,,,0F-05-02,0D-05-02,,,,0B-05-02,,,,,,,,,,,,,,,,,
0W-05-03,,,,0V-05-03,0S-05-03,,,,,0Q-05-03,0N-05-03,,,,0K-05-03,0H-05-03,,,,0F-05-03,0D-05-03,,,,0B-05-03,,,,,,,,,,,,,,,,,
,,,,0V-06-01,0S-06-01,,,,,0Q-06-01,0N-06-01,,,,0K-06-01,0H-06-01,,,,0F-06-01,0D-06-01,,,,0B-06-01,,,,,,,,,,,,,,,,,
,,,,0V-06-02,0S-06-02,,,,,0Q-06-02,0N-06-02,,,,0K-06-02,0H-06-02,,,,0F-06-02,0D-06-02,,,,0B-06-02,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
