B6,B5,B5,B5,B5,B5,B5,,,B4,B4,B3,B3,,B2,B2,,B1,B1,,,,A6,A6,A5,A5,A5,A5,A5,A5,A5,A5,,,,,A3,,A2,A2,,A1,,
B6,,,,,,,,,B4,B4,B3,B3,,B2,B2,,B1,B1,,,,A6,A6,,,,,,,,,,,,,A3,,A2,A2,,A1,,
B6,,,,,,,,,B4,B4,B3,B3,,B2,B2,,B1,B1,,,,A6,A6,,,,,A4,A4,A4,A4,,,,,A3,,A2,A2,,A1,,
B6,,,,,,,,,B4,B4,B3,B3,,B2,B2,,B1,B1,,,,A6,A6,,,,,A4,A4,A4,A4,,,,,A3,,A2,A2,,A1,,
B6,,,,,,,,,B4,B4,B3,B3,,B2,B2,,B1,B1,,,,A6,A6,,,,,,,,,,,,,A3,,A2,A2,,A1,,
B6,,,,,,,,,B4,B4,B3,B3,,B2,B2,,B1,B1,,,,A6,A6,,,,,,,,,,,,,A3,,A2,A2,,A1,,
B6,,,,,,,,,B4,B4,B3,B3,,B2,B2,,B1,B1,,,,A6,A6,,,,,,,,,,,,,A3,,A2,A2,,A1,,
B6,,,,,,,,,B4,B4,B3,B3,,B2,B2,,B1,B1,,,,A6,A6,,,,,,,,,,,,,A3,,A2,A2,,A1,,
B6,,,,,,,,,B4,B4,B3,B3,,B2,B2,,B1,B1,,,,A6,A6,,,,,,,,,,,,,A3,,A2,A2,,A1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D7,D7,D6,D6,,D5,D5,D5,,,,D4,D4,,D3,D2,D2,,D1,D1,,,,,C6,C6,,C5,C5,,C4,C4,,,C3,C3,C3,,C2,C2,,C1,,
D7,D7,D6,D6,,D5,D5,D5,,,,D4,D4,,D3,D2,D2,,D1,D1,,,,,C6,C6,,C5,C5,,C4,C4,,,C3,C3,C3,,C2,C2,,C1,,
D7,D7,D6,D6,,D5,D5,D5,,,,D4,D4,,D3,D2,D2,,D1,D1,,,,,C6,C6,,C5,C5,,C4,C4,,,C3,C3,C3,,C2,C2,,C1,,
D7,,D6,D6,,,D5,D5,,,,D4,D4,,D3,D2,D2,,D1,,,,,,C6,C6,,,C5,,C4,C4,,,,C3,C3,,C2,C2,,C1,,
D7,D7,D6,D6,,D5,D5,D5,,,,D4,D4,,D3,D2,D2,,D1,,,,,,C6,C6,,C5,C5,,C4,C4,,,C3,C3,C3,,C2,C2,,C1,,
D14,D7,D6,D13,,D5,D12,D12,,,,D11,D11,,D10,D9,D9,,D8,,,,,,C12,C12,,C5,C11,,C10,C10,,,C3,C9,C9,,C8,C8,,C7,,
D14,D7,,D13,,D5,D12,D12,,,,D11,D11,,D10,D9,D9,,D8,D8,,,,,C12,C12,,C5,C11,,C10,C10,,,,C9,C9,,C8,C8,,C7,,
D14,,,D13,,,D12,D12,,,,D11,D11,,D10,D9,D9,,D8,D8,,,,,C12,,,,C11,,C10,C10,,,,C9,C9,,C8,C8,,C7,,
D14,,,D13,,,D12,D12,,,,D11,D11,,D10,D9,D9,,D8,D8,,,,,C12,,,,C11,,C10,C10,,,,C9,C9,,C8,C8,,C7,,
D14,,,D13,,,D12,D12,,,,D11,D11,,D10,D9,D9,,D8,D8,,,,,C12,,,,C11,,C10,C10,,,,C9,C9,,C8,C8,,C7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E17,,E16,E16,E16,E15,E15,E14,E14,E13,E13,E12,E12,E11,E11,E10,E10,,E9,E9,E8,E8,E7,E7,E6,E6,E5,E5,E4,E4,,E3,E2,E2,E2,,E1,E1,,,,,,
E17,,E16,E16,,E15,E15,E14,E14,E13,E13,E12,E12,E11,E11,E10,E10,,E9,E9,E8,E8,E7,E7,E6,E6,E5,E5,E4,E4,,E3,E3,E2,E2,,E1,E1,,,,,,
E17,,E16,E16,,E15,E15,E14,E14,E13,E13,E12,E12,E11,E11,E10,E10,,E9,E9,E8,E8,E7,E7,E6,E6,E5,E5,E4,E4,,E3,E3,E2,E2,,E1,E1,,,,,,
E17,,E16,E16,,,E15,E14,E14,E13,,E12,E12,E11,E11,E10,,,E9,E9,E8,E8,E7,,E6,E6,E5,E5,E4,E4,,E3,E3,E2,E2,,,E1,,,,,,
