source_floor,source_row,source_col,nearest_target,target_type,cost
1,0,1,EXH-000,exhibition,44
1,0,8,EXH-000,exhibition,37
1,0,10,EXH-000,exhibition,35
1,0,11,EXH-000,exhibition,34
1,0,13,EXH-000,exhibition,32
1,0,15,EXH-000,exhibition,30
1,0,16,EXH-000,exhibition,29
1,0,18,EXH-000,exhibition,27
1,0,19,EXH-000,exhibition,26
1,0,22,EXH-000,exhibition,23
1,0,23,EXH-000,exhibition,22
1,0,35,EXH-000,exhibition,17
1,0,36,EXH-000,exhibition,18
1,0,37,EXH-000,exhibition,19
1,0,39,EXH-000,exhibition,21
1,0,40,EXH-000,exhibition,22
1,0,42,EXH-000,exhibition,24
1,1,1,EXH-000,exhibition,43
1,1,2,EXH-000,exhibition,42
1,1,3,EXH-000,exhibition,41
1,1,4,EXH-000,exhibition,40
1,1,5,EXH-000,exhibition,39
1,1,6,EXH-000,exhibition,38
1,1,8,EXH-000,exhibition,36
1,1,10,EXH-000,exhibition,34
1,1,11,EXH-000,exhibition,33
1,1,13,EXH-000,exhibition,31
1,1,15,EXH-000,exhibition,29
1,1,16,EXH-000,exhibition,28
1,1,18,EXH-000,exhibition,26
1,1,19,EXH-000,exhibition,25
1,1,22,EXH-000,exhibition,22
1,1,23,EXH-000,exhibition,21
1,1,24,EXH-000,exhibition,20
1,1,25,EXH-000,exhibition,19
1,1,26,EXH-000,exhibition,18
1,1,27,EXH-000,exhibition,17
1,1,28,EXH-000,exhibition,16
1,1,29,EXH-000,exhibition,15
1,1,30,EXH-000,exhibition,15
1,1,31,EXH-000,exhibition,15
1,1,32,EXH-000,exhibition,15
1,1,35,EXH-000,exhibition,16
1,1,36,EXH-000,exhibition,17
1,1,37,EXH-000,exhibition,18
1,1,39,EXH-000,exhibition,20
1,1,40,EXH-000,exhibition,21
1,1,42,EXH-000,exhibition,23
1,2,1,EXH-000,exhibition,42
1,2,8,EXH-000,exhibition,35
1,2,10,EXH-000,exhibition,33
1,2,11,EXH-000,exhibition,32
1,2,13,EXH-000,exhibition,30
1,2,15,EXH-000,exhibition,28
1,2,16,EXH-000,exhibition,27
1,2,18,EXH-000,exhibition,25
1,2,19,EXH-000,exhibition,24
1,2,22,EXH-000,exhibition,21
1,2,23,EXH-000,exhibition,20
1,2,29,EXH-000,exhibition,14
1,2,30,EXH-000,exhibition,14
