floor,row,col
1,0,1
1,0,8
1,0,10
1,0,11
1,0,13
1,0,15
1,0,16
1,0,18
1,0,19
1,0,22
1,0,23
1,0,35
1,0,36
1,0,37
1,0,39
1,0,40
1,0,42
1,1,1
1,1,2
1,1,3
1,1,4
1,1,5
1,1,6
1,1,8
1,1,10
1,1,11
1,1,13
1,1,15
1,1,16
1,1,18
1,1,19
1,1,22
1,1,23
1,1,24
1,1,25
1,1,26
1,1,27
1,1,28
1,1,29
1,1,30
1,1,31
1,1,32
1,1,35
1,1,36
1,1,37
1,1,39
1,1,40
1,1,42
1,2,1
1,2,8
1,2,10
1,2,11
1,2,13
1,2,15
1,2,16
1,2,18
1,2,19
1,2,22
1,2,23
1,2,29
1,2,30
1,2,31
1,2,32
1,2,35
1,2,36
1,2,37
1,2,39
1,2,40
1,2,42
1,3,1
1,3,8
1,3,10
1,3,11
1,3,13
1,3,15
1,3,16
1,3,18
1,3,19
1,3,22
1,3,23
1,3,29
1,3,30
1,3,31
1,3,32
1,3,36
1,3,37
1,3,39
1,3,40
1,3,42
1,4,1
1,4,8
1,4,10
1,4,11
1,4,13
1,4,15
1,4,16
1,4,18
1,4,19
1,4,22
1,4,23
1,4,36
1,4,37
1,4,39
1,4,40
1,4,42
1,5,1
1,5,8
1,5,10
1,5,11
1,5,13
1,5,15
1,5,16
1,5,18
1,5,19
1,5,22
1,5,23
1,5,36
1,5,37
1,5,39
1,5,40
1,5,42
1,6,1
1,6,8
1,6,10
1,6,11
1,6,13
1,6,15
1,6,16
1,6,18
1,6,19
1,6,22
1,6,23
1,6,36
1,6,37
1,6,39
1,6,40
1,6,42
1,7,1
1,7,8
1,7,10
1,7,11
1,7,13
1,7,15
1,7,16
1,7,18
1,7,19
1,7,22
1,7,23
1,7,36
1,7,37
1,7,39
1,7,40
1,7,42
1,8,1
1,8,8
1,8,10
1,8,11
1,8,13
1,8,15
1,8,16
1,8,18
1,8,19
1,8,22
1,8,23
1,8,36
1,8,37
1,8,39
1,8,40
1,8,42
1,11,1
1,11,3
1,11,4
1,11,6
1,11,8
1,11,9
1,11,11
1,11,12
1,11,14
1,11,16
1,11,17
1,11,19
1,11,20
1,11,22
1,11,24
1,11,25
1,11,27
1,11,28
1,11,30
1,11,32
1,11,33
1,11,35
1,11,36
1,11,38
1,11,39
1,11,41
1,11,42
1,11,44
1,12,1
1,12,3
1,12,4
1,12,6
1,12,8
1,12,9
1,12,11
1,12,12
1,12,14
1,12,16
1,12,17
1,12,19
1,12,20
1,12,22
1,12,24
1,12,25
1,12,27
1,12,28
1,12,30
1,12,32
1,12,33
1,12,35
1,12,36
1,12,38
1,12,39
1,12,41
1,12,42
1,12,44
1,13,1
1,13,3
1,13,4
1,13,6
1,13,8
1,13,9
1,13,11
1,13,12
1,13,14
1,13,16
1,13,17
1,13,19
1,13,20
1,13,22
1,13,24
1,13,25
1,13,27
1,13,28
1,13,30
1,13,32
1,13,33
1,13,35
1,13,36
1,13,38
1,13,39
1,13,41
1,13,42
1,13,44
1,14,1
1,14,3
1,14,4
1,14,6
1,14,8
1,14,9
1,14,11
1,14,12
1,14,14
1,14,16
1,14,17
1,14,19
1,14,20
1,14,22
1,14,24
1,14,25
1,14,27
1,14,28
1,14,30
1,14,32
1,14,33
1,14,35
1,14,36
1,14,38
1,14,39
1,14,41
1,14,42
1,14,44
1,15,1
1,15,3
1,15,4
1,15,6
1,15,8
1,15,9
1,15,11
1,15,12
1,15,14
1,15,16
1,15,17
1,15,19
1,15,20
1,15,22
1,15,24
1,15,25
1,15,27
1,15,28
1,15,30
1,15,32
1,15,33
1,15,35
1,15,36
1,15,38
1,15,39
1,15,41
1,15,42
1,15,44
1,16,1
1,16,3
1,16,4
1,16,6
1,16,8
1,16,9
1,16,11
1,16,12
1,16,14
1,16,16
1,16,17
1,16,19
1,16,20
1,16,22
1,16,24
1,16,25
1,16,27
1,16,28
1,16,30
1,16,32
1,16,33
1,16,35
1,16,36
1,16,38
1,16,39
1,16,41
1,16,42
1,16,44
1,17,1
1,17,3
1,17,4
1,17,6
1,17,8
1,17,9
1,17,11
1,17,12
1,17,14
1,17,16
1,17,17
1,17,19
1,17,20
1,17,22
1,17,24
1,17,25
1,17,27
1,17,28
1,17,30
1,17,32
1,17,33
1,17,35
1,17,36
1,17,38
1,17,39
1,17,41
1,17,42
1,17,44
1,18,1
1,18,3
1,18,4
1,18,6
1,18,8
1,18,9
1,18,11
1,18,12
1,18,14
1,18,16
1,18,17
1,18,19
1,18,20
1,18,22
1,18,24
1,18,25
1,18,27
1,18,28
1,18,30
1,18,32
1,18,33
1,18,35
1,18,36
1,18,38
1,18,39
1,18,41
1,18,42
1,18,44
1,22,1
1,22,3
1,22,4
1,22,6
1,22,8
1,22,9
1,22,11
1,22,12
1,22,14
1,22,16
1,22,17
1,22,19
1,22,20
1,22,22
1,22,24
1,22,25
1,22,27
1,22,28
1,22,30
1,22,32
1,22,33
1,22,35
1,22,36
1,22,38
1,22,39
1,22,41
1,22,42
1,22,44
1,23,1
1,23,3
1,23,4
1,23,6
1,23,8
1,23,9
1,23,11
1,23,12
1,23,14
1,23,16
1,23,17
1,23,19
1,23,20
1,23,22
1,23,24
1,23,25
1,23,27
1,23,28
1,23,30
1,23,32
1,23,33
1,23,35
1,23,36
1,23,38
1,23,39
1,23,41
1,23,42
1,23,44
1,24,1
1,24,3
1,24,4
1,24,6
1,24,8
1,24,9
1,24,11
1,24,12
1,24,14
1,24,16
1,24,17
1,24,19
1,24,20
1,24,22
1,24,24
1,24,25
1,24,27
1,24,28
1,24,30
1,24,32
1,24,33
1,24,35
1,24,36
1,24,38
1,24,39
1,24,41
1,24,42
1,24,44
1,25,1
1,25,3
1,25,4
1,25,6
1,25,8
1,25,9
1,25,11
1,25,12
1,25,14
1,25,16
1,25,17
1,25,19
1,25,20
1,25,22
1,25,24
1,25,25
1,25,27
1,25,28
1,25,30
1,25,32
1,25,33
1,25,35
1,25,36
1,25,38
1,25,39
1,25,41
1,25,42
1,25,44
1,26,1
1,26,3
1,26,4
1,26,6
1,26,8
1,26,9
1,26,11
1,26,12
1,26,14
1,26,16
1,26,17
1,26,19
1,26,20
1,26,22
1,26,24
1,26,25
1,26,27
1,26,28
1,26,30
1,26,32
1,26,33
1,26,35
1,26,36
1,26,38
1,26,39
1,26,41
1,26,42
1,26,44
1,27,1
1,27,3
1,27,4
1,27,6
1,27,8
1,27,9
1,27,11
1,27,12
1,27,14
1,27,16
1,27,17
1,27,19
1,27,20
1,27,22
1,27,24
1,27,25
1,27,27
1,27,28
1,27,30
1,27,32
1,27,33
1,27,35
1,27,36
1,27,38
1,27,39
1,27,41
1,27,42
1,27,44
1,28,1
1,28,3
1,28,4
1,28,6
1,28,8
1,28,9
1,28,11
1,28,12
1,28,14
1,28,16
1,28,17
1,28,19
1,28,20
1,28,22
1,28,24
1,28,25
1,28,27
1,28,28
1,28,30
1,28,32
1,28,33
1,28,35
1,28,36
1,28,38
1,28,39
1,28,41
1,28,42
1,28,44
1,29,1
1,29,3
1,29,4
1,29,6
1,29,8
1,29,9
1,29,11
1,29,12
1,29,14
1,29,16
1,29,17
1,29,19
1,29,20
1,29,22
1,29,24
1,29,25
1,29,27
1,29,28
1,29,30
1,29,32
1,29,33
1,29,35
1,29,36
1,29,38
1,29,39
1,29,41
1,29,42
1,29,44
2,0,1
2,0,8
2,0,10
2,0,11
2,0,13
2,0,15
2,0,16
2,0,18
2,0,19
2,0,22
2,0,23
2,0,35
2,0,36
2,0,37
2,0,39
2,0,40
2,0,42
2,1,1
2,1,2
2,1,3
2,1,4
2,1,5
2,1,6
2,1,8
2,1,10
2,1,11
2,1,13
2,1,15
2,1,16
2,1,18
2,1,19
2,1,22
2,1,23
2,1,24
2,1,25
2,1,26
2,1,27
2,1,28
2,1,29
2,1,30
2,1,31
2,1,32
2,1,35
2,1,36
2,1,37
2,1,39
2,1,40
2,1,42
2,2,1
2,2,8
2,2,10
2,2,11
2,2,13
2,2,15
2,2,16
2,2,18
2,2,19
2,2,22
2,2,23
2,2,29
2,2,30
2,2,31
2,2,32
2,2,35
2,2,36
2,2,37
2,2,39
2,2,40
2,2,42
2,3,1
2,3,8
2,3,10
2,3,11
2,3,13
2,3,15
2,3,16
2,3,18
2,3,19
2,3,22
2,3,23
2,3,29
2,3,30
2,3,31
2,3,32
2,3,36
2,3,37
2,3,39
2,3,40
2,3,42
2,4,1
2,4,8
2,4,10
2,4,11
2,4,13
2,4,15
2,4,16
2,4,18
2,4,19
2,4,22
2,4,23
2,4,36
2,4,37
2,4,39
2,4,40
2,4,42
2,5,1
2,5,8
2,5,10
2,5,11
2,5,13
2,5,15
2,5,16
2,5,18
2,5,19
2,5,22
2,5,23
2,5,36
2,5,37
2,5,39
2,5,40
2,5,42
2,6,1
2,6,8
2,6,10
2,6,11
2,6,13
2,6,15
2,6,16
2,6,18
2,6,19
2,6,22
2,6,23
2,6,36
2,6,37
2,6,39
2,6,40
2,6,42
2,7,1
2,7,8
2,7,10
2,7,11
2,7,13
2,7,15
2,7,16
2,7,18
2,7,19
2,7,22
2,7,23
2,7,36
2,7,37
2,7,39
2,7,40
2,7,42
2,8,1
2,8,8
2,8,10
2,8,11
2,8,13
2,8,15
2,8,16
2,8,18
2,8,19
2,8,22
2,8,23
2,8,36
2,8,37
2,8,39
2,8,40
2,8,42
2,11,1
2,11,3
2,11,4
2,11,6
2,11,8
2,11,9
2,11,11
2,11,12
2,11,14
2,11,16
2,11,17
2,11,19
2,11,20
2,11,22
2,11,24
2,11,25
2,11,27
2,11,28
2,11,30
2,11,32
2,11,33
2,11,35
2,11,36
2,11,38
2,11,39
2,11,41
2,11,42
2,11,44
2,12,1
2,12,3
2,12,4
2,12,6
2,12,8
2,12,9
2,12,11
2,12,12
2,12,14
2,12,16
2,12,17
2,12,19
2,12,20
2,12,22
2,12,24
2,12,25
2,12,27
2,12,28
2,12,30
2,12,32
2,12,33
2,12,35
2,12,36
2,12,38
2,12,39
2,12,41
2,12,42
2,12,44
2,13,1
2,13,3
2,13,4
2,13,6
2,13,8
2,13,9
2,13,11
2,13,12
2,13,14
2,13,16
2,13,17
2,13,19
2,13,20
2,13,22
2,13,24
2,13,25
2,13,27
2,13,28
2,13,30
2,13,32
2,13,33
2,13,35
2,13,36
2,13,38
2,13,39
2,13,41
2,13,42
2,13,44
2,14,1
2,14,3
2,14,4
2,14,6
2,14,8
2,14,9
2,14,11
2,14,12
2,14,14
2,14,16
2,14,17
2,14,19
2,14,20
2,14,22
2,14,24
2,14,25
2,14,27
2,14,28
2,14,30
2,14,32
2,14,33
2,14,35
2,14,36
2,14,38
2,14,39
2,14,41
2,14,42
2,14,44
2,15,1
2,15,3
2,15,4
2,15,6
2,15,8
2,15,9
2,15,11
2,15,12
2,15,14
2,15,16
2,15,17
2,15,19
2,15,20
2,15,22
2,15,24
2,15,25
2,15,27
2,15,28
2,15,30
2,15,32
2,15,33
2,15,35
2,15,36
2,15,38
2,15,39
2,15,41
2,15,42
2,15,44
2,16,1
2,16,3
2,16,4
2,16,6
2,16,8
2,16,9
2,16,11
2,16,12
2,16,14
2,16,16
2,16,17
2,16,19
2,16,20
2,16,22
2,16,24
2,16,25
2,16,27
2,16,28
2,16,30
2,16,32
2,16,33
2,16,35
2,16,36
2,16,38
2,16,39
2,16,41
2,16,42
2,16,44
2,17,1
2,17,3
2,17,4
2,17,6
2,17,8
2,17,9
2,17,11
2,17,12
2,17,14
2,17,16
2,17,17
2,17,19
2,17,20
2,17,22
2,17,24
2,17,25
2,17,27
2,17,28
2,17,30
2,17,32
2,17,33
2,17,35
2,17,36
2,17,38
2,17,39
2,17,41
2,17,42
2,17,44
2,18,1
2,18,3
2,18,4
2,18,6
2,18,8
2,18,9
2,18,11
2,18,12
2,18,14
2,18,16
2,18,17
2,18,19
2,18,20
2,18,22
2,18,24
2,18,25
2,18,27
2,18,28
2,18,30
2,18,32
2,18,33
2,18,35
2,18,36
2,18,38
2,18,39
2,18,41
2,18,42
2,18,44
2,22,1
2,22,3
2,22,4
2,22,6
2,22,8
2,22,9
2,22,11
2,22,12
2,22,14
2,22,16
2,22,17
2,22,19
2,22,20
2,22,22
2,22,24
2,22,25
2,22,27
2,22,28
2,22,30
2,22,32
2,22,33
2,22,35
2,22,36
2,22,38
2,22,39
2,22,41
2,22,42
2,22,44
2,23,1
2,23,3
2,23,4
2,23,6
2,23,8
2,23,9
2,23,11
2,23,12
2,23,14
2,23,16
2,23,17
2,23,19
2,23,20
2,23,22
2,23,24
2,23,25
2,23,27
2,23,28
2,23,30
2,23,32
2,23,33
2,23,35
2,23,36
2,23,38
2,23,39
2,23,41
2,23,42
2,23,44
2,24,1
2,24,3
2,24,4
2,24,6
2,24,8
2,24,9
2,24,11
2,24,12
2,24,14
2,24,16
2,24,17
2,24,19
2,24,20
2,24,22
2,24,24
2,24,25
2,24,27
2,24,28
2,24,30
2,24,32
2,24,33
2,24,35
2,24,36
2,24,38
2,24,39
2,24,41
2,24,42
2,24,44
2,25,1
2,25,3
2,25,4
