target_idx,label,type,n_access_points,access_points
0,0A-01-01,shelf,2,"[(6, 25), (7, 26)]"
1,0A-01-02,shelf,1,"[(8, 26)]"
2,0A-01-03,shelf,1,"[(9, 26)]"
3,0A-02-01,shelf,1,"[(10, 26)]"
4,0A-02-02,shelf,1,"[(11, 26)]"
5,0B-01-01,shelf,3,"[(14, 25), (15, 24), (15, 26)]"
6,0B-01-02,shelf,2,"[(16, 24), (16, 26)]"
7,0B-01-03,shelf,2,"[(17, 24), (17, 26)]"
8,0B-02-01,shelf,1,"[(18, 24)]"
9,0B-02-02,shelf,2,"[(19, 24), (19, 26)]"
10,0B-02-03,shelf,2,"[(20, 24), (20, 26)]"
11,0B-03-01,shelf,2,"[(21, 24), (21, 26)]"
12,0B-03-02,shelf,2,"[(22, 24), (22, 26)]"
13,0B-03-03,shelf,3,"[(23, 24), (23, 26), (24, 25)]"
14,0C-01-01,shelf,2,"[(6, 24), (7, 23)]"
15,0C-01-02,shelf,1,"[(8, 23)]"
16,0C-01-03,shelf,1,"[(9, 23)]"
17,0C-02-01,shelf,1,"[(10, 23)]"
18,0C-02-02,shelf,1,"[(11, 23)]"
19,0C-02-03,shelf,2,"[(12, 23), (13, 24)]"
20,0D-01-01,shelf,2,"[(14, 21), (15, 22)]"
21,0D-01-02,shelf,1,"[(16, 22)]"
22,0D-01-03,shelf,1,"[(17, 22)]"
23,0D-02-01,shelf,1,"[(18, 22)]"
24,0D-02-02,shelf,1,"[(19, 22)]"
25,0D-02-03,shelf,1,"[(20, 22)]"
26,0D-03-01,shelf,1,"[(21, 22)]"
27,0D-03-02,shelf,1,"[(22, 22)]"
28,0D-03-03,shelf,2,"[(23, 22), (24, 21)]"
29,0E-01-01,shelf,3,"[(6, 20), (7, 19), (7, 21)]"
30,0E-01-02,shelf,2,"[(8, 19), (8, 21)]"
31,0E-01-03,shelf,2,"[(9, 19), (9, 21)]"
32,0E-02-01,shelf,2,"[(10, 19), (10, 21)]"
33,0E-02-02,shelf,2,"[(11, 19), (11, 21)]"
34,0E-02-03,shelf,2,"[(12, 21), (13, 20)]"
35,0F-01-01,shelf,2,"[(14, 20), (15, 19)]"
36,0F-01-02,shelf,1,"[(16, 19)]"
37,0F-01-03,shelf,1,"[(17, 19)]"
38,0F-02-02,shelf,1,"[(19, 19)]"
39,0F-02-03,shelf,1,"[(20, 19)]"
40,0F-03-01,shelf,1,"[(21, 19)]"
41,0F-03-02,shelf,1,"[(22, 19)]"
42,0F-03-03,shelf,2,"[(23, 19), (24, 20)]"
43,0G-01-01,shelf,2,"[(6, 16), (7, 17)]"
44,0G-01-02,shelf,1,"[(8, 17)]"
45,0G-01-03,shelf,1,"[(9, 17)]"
46,0G-02-01,shelf,1,"[(10, 17)]"
47,0G-02-02,shelf,1,"[(11, 17)]"
48,0G-02-03,shelf,1,"[(13, 16)]"
49,0H-01-01,shelf,2,"[(14, 16), (15, 17)]"
50,0H-01-02,shelf,1,"[(16, 17)]"
51,0H-01-03,shelf,1,"[(17, 17)]"
52,0H-02-02,shelf,1,"[(19, 17)]"
53,0H-02-03,shelf,1,"[(20, 17)]"
54,0H-03-01,shelf,1,"[(21, 17)]"
55,0H-03-02,shelf,1,"[(22, 17)]"
56,0H-03-03,shelf,2,"[(23, 17), (24, 16)]"
57,0I-01-01,shelf,2,"[(6, 15), (7, 14)]"
58,0I-01-02,shelf,1,"[(8, 14)]"
59,0I-01-03,shelf,1,"[(9, 14)]"
60,0I-02-01,shelf,1,"[(10, 14)]"
61,0I-02-02,shelf,1,"[(11, 14)]"
62,0I-02-03,shelf,2,"[(12, 14), (13, 15)]"
63,0K-01-01,shelf,2,"[(14, 15), (15, 14)]"
64,0K-01-02,shelf,1,"[(16, 14)]"
65,0K-01-03,shelf,1,"[(17, 14)]"
66,0K-02-01,shelf,1,"[(18, 14)]"
67,0K-02-02,shelf,1,"[(19, 14)]"
68,0K-02-03,shelf,1,"[(20, 14)]"
69,0K-03-01,shelf,1,"[(21, 14)]"
70,0K-03-02,shelf,1,"[(22, 14)]"
71,0K-03-03,shelf,2,"[(23, 14), (24, 15)]"
72,0M-01-01,shelf,2,"[(6, 11), (7, 12)]"
73,0M-01-02,shelf,1,"[(8, 12)]"
74,0M-01-03,shelf,1,"[(9, 12)]"
75,0M-02-01,shelf,1,"[(10, 12)]"
76,0M-02-02,shelf,1,"[(11, 12)]"
77,0N-01-01,shelf,2,"[(14, 11), (15, 12)]"
78,0N-01-02,shelf,1,"[(16, 12)]"
79,0N-01-03,shelf,1,"[(17, 12)]"
