seq,product_id,abc_class,volume_m3,emplacement_code,floor,cost,remaining_m3,walk_distance,timestamp,position_row,position_col
1,31554,A,0.037,B07-N2-A7,2,0.08,2499.961925,1,2026-02-13T15:57:16.374365,3,29
2,31565,A,0.037,B07-N2-A7,2,0.05958764474008377,2499.9249250000003,1,2026-02-13T15:57:16.374365,3,29
3,31723,A,0.025,B07-N2-A7,2,0.04845364751494405,2499.899925,1,2026-02-13T15:57:16.374365,3,29
4,31725,A,0.034,B07-N2-A7,2,0.04472607979668314,2499.865925,1,2026-02-13T15:57:16.374365,3,29
5,31732,A,0.034,B07-N2-A7,2,0.04621186187938434,2499.831925,1,2026-02-13T15:57:16.374365,3,29
6,34015,A,0.041,B07-N2-A7,2,0.048347953216374265,2499.790925,1,2026-02-13T15:57:16.374365,3,29
7,31557,A,0.037,B07-N2-A7,2,0.0466557422751261,2499.753925,1,2026-02-13T15:57:16.374365,3,29
8,34016,A,0.041,B07-N2-A7,2,0.04466842688761816,2499.712925,1,2026-02-13T15:57:16.374365,3,29
9,35584,A,0.041,B07-N2-A7,2,0.043686868686868684,2499.6719249999996,1,2026-02-13T15:57:16.374365,3,29
10,35585,A,0.041,B07-N2-A7,2,0.03993233036397349,2499.6309249999995,1,2026-02-13T15:57:16.374365,3,29
11,31993,A,0.041,B07-N2-A7,2,0.042354190168695946,2499.5899249999993,1,2026-02-13T15:57:16.374365,3,29
12,31724,A,0.034,B07-N2-A7,2,0.029731486884246833,2499.555924999999,1,2026-02-13T15:57:16.374365,3,29
13,31772,A,0.000512,B07-N2-A7,2,0.03296612466124661,2499.555412999999,1,2026-02-13T15:57:16.374365,3,29
14,34637,A,0.000288,B07-N2-A7,2,0.03334406322532125,2499.555124999999,1,2026-02-13T15:57:16.374365,3,29
15,34013,A,0.041,B07-N2-A7,2,0.037928677014042865,2499.514124999999,1,2026-02-13T15:57:16.374365,3,29
16,31549,A,0.037,B07-N2-A7,2,0.036747546063977385,2499.477124999999,1,2026-02-13T15:57:16.374365,3,29
17,31584,A,0.034,B07-N2-A7,2,0.03782249646659146,2499.443124999999,1,2026-02-13T15:57:16.374365,3,29
18,35574,A,0.041,B07-N2-A7,2,0.036858491850468744,2499.4021249999987,1,2026-02-13T15:57:16.374365,3,29
19,31551,A,0.037,B07-N2-A7,2,0.035588701520986504,2499.365124999999,1,2026-02-13T15:57:16.374365,3,29
20,31569,A,0.037,B07-N2-A7,2,0.03354041052372246,2499.328124999999,1,2026-02-13T15:57:16.374365,3,29
21,31761,A,0.000512,B07-N2-A7,2,0.0291578331453171,2499.327612999999,1,2026-02-13T15:57:16.374365,3,29
22,31463,A,0.037,B07-N2-A7,2,0.03423603817377887,2499.290612999999,1,2026-02-13T15:57:16.374365,3,29
23,31994,A,0.041,B07-N2-A7,2,0.034763585793752674,2499.249612999999,1,2026-02-13T15:57:16.374365,3,29
24,31729,A,0.034,B07-N2-A7,2,0.03059108414050648,2499.215612999999,1,2026-02-13T15:57:16.374365,3,29
25,31493,A,0.037,B07-N2-A7,2,0.032150620453572955,2499.178612999999,1,2026-02-13T15:57:16.374365,3,29
26,31766,A,0.0032,B07-N2-A7,2,0.03273919879150945,2499.175412999999,1,2026-02-13T15:57:16.374365,3,29
27,31587,A,0.034,B07-N2-A7,2,0.03272594364699628,2499.141412999999,1,2026-02-13T15:57:16.374365,3,29
28,31731,A,0.034,B07-N2-A7,2,0.027644286251474956,2499.107412999999,1,2026-02-13T15:57:16.374365,3,29
29,34014,A,0.041,B07-N2-A7,2,0.0318541480271262,2499.0664129999986,1,2026-02-13T15:57:16.374365,3,29
30,31995,A,0.041,B07-N2-A7,2,0.029284128188171832,2499.0254129999985,1,2026-02-13T15:57:16.374365,3,29
31,31762,A,0.0008,B07-N2-A7,2,0.026634969722902968,2499.0246129999987,1,2026-02-13T15:57:16.374365,3,29
32,35576,A,0.041,B07-N2-A7,2,0.030800235992790553,2498.9836129999985,1,2026-02-13T15:57:16.374365,3,29
33,31756,A,0.038,B07-N2-A7,2,0.028537402263974793,2498.9456129999985,1,2026-02-13T15:57:16.374365,3,29
34,34392,A,0.041,B07-N2-A7,2,0.02875823057273635,2498.9046129999983,1,2026-02-13T15:57:16.374365,3,29
35,34017,A,0.041,B07-N2-A7,2,0.03194053824509537,2498.863612999998,1,2026-02-13T15:57:16.374365,3,29
36,31986,A,0.041,B07-N2-A7,2,0.02785767819400682,2498.822612999998,1,2026-02-13T15:57:16.374365,3,29
37,31773,A,0.0008,B07-N2-A7,2,0.026740778776208816,2498.821812999998,1,2026-02-13T15:57:16.374365,3,29
38,31461,A,0.037,B07-N2-A7,2,0.030045140104511092,2498.7848129999984,1,2026-02-13T15:57:16.374365,3,29
39,35580,A,0.041,B07-N2-A7,2,0.030304245925234372,2498.743812999998,1,2026-02-13T15:57:16.374365,3,29
40,31985,A,0.041,B07-N2-A7,2,0.028613305714396856,2498.702812999998,1,2026-02-13T15:57:16.374365,3,29
41,31661,A,0.041,B07-N2-A7,2,0.02700128693870671,2498.661812999998,1,2026-02-13T15:57:16.374365,3,29
42,35595,A,0.041,B07-N2-A7,2,0.02776905123118217,2498.6208129999977,1,2026-02-13T15:57:16.374365,3,29
43,34018,A,0.041,B07-N2-A7,2,0.028642312081015548,2498.5798129999976,1,2026-02-13T15:57:16.374365,3,29
44,31730,A,0.034,B07-N2-A7,2,0.027482903489321975,2498.5458129999975,1,2026-02-13T15:57:16.374365,3,29
45,31543,A,0.037,B07-N2-A7,2,0.02843925454804787,2498.5088129999976,1,2026-02-13T15:57:16.374365,3,29
46,31760,A,0.08,B07-N2-A7,2,0.028395795568003528,2498.4288129999977,1,2026-02-13T15:57:16.374365,3,29
47,31858,A,0.037,B07-N2-A7,2,0.026412653492563637,2498.391812999998,1,2026-02-13T15:57:16.374365,3,29
48,31473,A,0.037,B07-N2-A7,2,0.026683896085372336,2498.354812999998,1,2026-02-13T15:57:16.374365,3,29
49,31860,A,0.037,B07-N2-A7,2,0.025384415399177913,2498.3178129999983,1,2026-02-13T15:57:16.374365,3,29
50,31769,A,0.0048,B07-N2-A7,2,0.02666444677843908,2498.313012999998,1,2026-02-13T15:57:16.374365,3,29
51,31740,A,0.038,B07-N2-A7,2,0.025660575589009478,2498.275012999998,1,2026-02-13T15:57:16.374365,3,29
52,35578,A,0.041,B07-N2-A7,2,0.02704806408111928,2498.234012999998,1,2026-02-13T15:57:16.374365,3,29
53,31686,A,0.041,B07-N2-A7,2,0.027521929824561406,2498.193012999998,1,2026-02-13T15:57:16.374365,3,29
54,31737,A,0.038,B07-N2-A7,2,0.02486903696788164,2498.155012999998,1,2026-02-13T15:57:16.374365,3,29
55,31726,A,0.034,B07-N2-A7,2,0.023614368978618017,2498.1210129999977,1,2026-02-13T15:57:16.374365,3,29
56,34393,A,0.041,B07-N2-A7,2,0.02624485548683238,2498.0800129999975,1,2026-02-13T15:57:16.374365,3,29
57,31509,A,0.037,B07-N2-A7,2,0.024278004693922536,2498.0430129999977,1,2026-02-13T15:57:16.374365,3,29
58,31757,A,0.038,B07-N2-A7,2,0.025074927710999596,2498.0050129999977,1,2026-02-13T15:57:16.374365,3,29
59,34403,A,0.041,B07-N2-A7,2,0.028024986709197237,2497.9640129999975,1,2026-02-13T15:57:16.374365,3,29
60,31484,A,0.037,B07-N2-A7,2,0.023892645971914265,2497.9270129999977,1,2026-02-13T15:57:16.374365,3,29
61,31662,A,0.041,B07-N2-A7,2,0.023819825339401718,2497.8860129999975,1,2026-02-13T15:57:16.374365,3,29
