id_produit,sku,nom_produit,unite_mesure,categorie,actif,colisage fardeau,colisage palette,volume pcs (m3),Poids(kg),Is_Gerbable
texte,texte,texte,texte,texte,booleen,nombre,nombre,nombre,nombre,booleen
O,O,O,O,N,O,O,N,O,N,N
31334,,,Unité(s),MOULURE,True,32,1600,0.0002,0,True
31335,,,Unité(s),MOULURE,True,32,2100,0.00025,0,True
31336,,,Unité(s),MOULURE,True,32,2300,0.00025,0,True
31337,,,Unité(s),MOULURE,True,20,1000,0.00025,0,True
31338,,,Unité(s),MOULURE,True,60,1300,0.000125,0,True
31339,,,Unité(s),MOULURE,True,22,2500,0.00025,0,True
31340,,,Unité(s),MOULURE,True,1,1000,0.00025,0,True
31341,,,Unité(s),MOULURE,True,12,1500,0.00025,0,True
31342,,,Unité(s),MOULURE,True,32,1900,0.00025,0,True
31343,,,Unité(s),MOULURE,True,24,1400,0.00025,0,True
31344,,,Unité(s),MOULURE,True,96,3000,5e-06,0,True
31347,,,Unité(s),MOULURE,True,100,1500,1.28e-05,0,True
31348,,,Unité(s),MOULURE,True,100,1700,1.28e-05,0,True
31349,,,Unité(s),MOULURE,True,200,2800,1.28e-05,0,True
31350,,,Unité(s),MOULURE,True,200,2400,1.28e-05,0,True
31351,,,Unité(s),MOULURE,True,100,2700,1.28e-05,0,True
31352,,,Unité(s),MOULURE,True,48,1200,2e-06,0,True
44790,,,Unité(s),MOULURE,True,100,1000,2e-06,0,True
44791,,,Unité(s),MOULURE,True,100,1600,2e-06,0,True
44792,,,Unité(s),MOULURE,True,100,2700,2e-06,0,True
44633,,,Unité(s),MOULURE,True,60,2400,2e-06,0,True
45515,,,Unité(s),MOULURE,True,200,1700,2e-06,0,True
45516,,,Unité(s),MOULURE,True,120,1700,2e-06,0,True
31353,,,Unité(s),MOULURE,True,100,2400,5e-06,0,True
31354,,,Unité(s),MOULURE,True,100,1100,5e-06,0,True
31355,,,Unité(s),MOULURE,True,100,2900,5e-06,0,True
31356,,,Unité(s),MOULURE,True,100,2600,5e-06,0,True
31357,,,Unité(s),MOULURE,True,100,1800,5e-06,0,True
31358,,,Unité(s),MOULURE,True,100,2900,5e-06,0,True
31359,,,Unité(s),MOULURE,True,1,1500,5e-06,0,True
41906,,,Unité(s),Tous,True,1,2600,0.065,0,True
41907,,,Unité(s),TABLEAUX DISTRIBUTION,True,1,1800,0.065,0,True
45380,,,Unité(s),TABLEAUX DISTRIBUTION,True,1,2700,0.065,0,True
35636,,,Unité(s),MOULURE,True,40,2200,1.2e-05,0,True
35637,,,Unité(s),MOULURE,True,40,1700,1.2e-05,0,True
35638,,,Unité(s),MOULURE,True,40,2800,1.2e-05,0,True
35639,,,Unité(s),MOULURE,True,40,3000,1.2e-05,0,True
42234,,,Unité(s),MOULURE,True,90,2300,1.2e-05,0,True
42235,,,Unité(s),MOULURE,True,1,2100,1.2e-05,0,True
31360,,,Unité(s),MOULURE,True,40,2300,1.2e-05,0,True
31361,,,Unité(s),MOULURE,True,24,1100,1.2e-05,0,True
31367,,,Unité(s),MOULURE,True,100,2000,7.5e-06,0,True
31362,,,Unité(s),MOULURE,True,150,2500,8.000000000000001e-06,0,True
31363,,,Unité(s),MOULURE,True,100,1000,8.000000000000001e-06,0,True
31364,,,Unité(s),MOULURE,True,120,1200,8.000000000000001e-06,0,True
31365,,,Unité(s),MOULURE,True,100,2500,8.000000000000001e-06,0,True
31366,,,Unité(s),MOULURE,True,100,2000,8.000000000000001e-06,0,True
41912,,,Unité(s),Tous,True,1,2500,0,0,True
44513,,,Unité(s),Tous,True,1,2800,0,0,True
31368,,,Unité(s),MONO ACCESSOIRES,True,1,1900,0.083,0,True
31369,,,Unité(s),MONO ACCESSOIRES,True,1,2800,0,0,True
42214,,,Unité(s),LAMPE LED MONO,True,1,1900,0,0,True
42215,,,Unité(s),LAMPE LED MONO,True,1,2900,0,0,True
42216,,,Unité(s),LAMPE LED MONO,True,1,2500,0,0,True
42217,,,Unité(s),LAMPE LED MONO,True,1,1400,0,0,True
42218,,,Unité(s),LAMPE LED MONO,True,1,2600,0,0,True
39005,,,Unité(s),ACCESSOIRES,True,1,2300,0,0,True
43683,,,Unité(s),TABLEAUX DISTRIBUTION,True,1,1200,0,0,True
31370,,,Unité(s),MINI DISJONCTEUR,True,50,1700,0.018,0,True
31371,,,Unité(s),MINI DISJONCTEUR,True,120,2400,0.018,0,True
31372,,,Unité(s),MINI DISJONCTEUR,True,50,1700,0.018,0,True
39085,,,Unité(s),MINI DISJONCTEUR,True,1,2600,0.018,0,True
31374,,,Unité(s),MINI DISJONCTEUR,True,120,1600,0.018,0,True
31375,,,Unité(s),MINI DISJONCTEUR,True,120,1400,0.018,0,True
31376,,,Unité(s),MINI DISJONCTEUR,True,120,1600,0.018,0,True
31377,,,Unité(s),MINI DISJONCTEUR,True,120,2700,0.018,0,True
31378,,,Unité(s),MINI DISJONCTEUR,True,120,2900,0.018,0,True
31379,,,Unité(s),MINI DISJONCTEUR,True,120,2700,0.018,0,True
31380,,,Unité(s),MINI DISJONCTEUR,True,120,2800,0.018,0,True
31381,,,Unité(s),MINI DISJONCTEUR,True,120,1800,0.018,0,True
43779,,,Unité(s),MINI DISJONCTEUR,True,1,1200,0.018,0,True
31383,,,Unité(s),MINI DISJONCTEUR,True,60,2100,0.018,0,True
31384,,,Unité(s),MINI DISJONCTEUR,True,60,1700,0.036,0,True
31385,,,Unité(s),MINI DISJONCTEUR,True,60,1700,0.036,0,True
38148,,,Unité(s),MINI DISJONCTEUR,True,1,2100,0.036,0,True
31386,,,Unité(s),MINI DISJONCTEUR,True,60,1800,0.036,0,True
31387,,,Unité(s),MINI DISJONCTEUR,True,60,3000,0.036,0,True
38147,,,Unité(s),MINI DISJONCTEUR,True,1,1100,0.036,0,True
31388,,,Unité(s),MINI DISJONCTEUR,True,60,2300,0.036,0,True
31389,,,Unité(s),MINI DISJONCTEUR,True,60,2800,0.036,0,True
31390,,,Unité(s),MINI DISJONCTEUR,True,60,2200,0.036,0,True
31391,,,Unité(s),MINI DISJONCTEUR,True,60,1000,0.036,0,True
38146,,,Unité(s),MINI DISJONCTEUR,True,1,1200,0.036,0,True
31392,,,Unité(s),MINI DISJONCTEUR,True,40,3000,0.054,0,True
31393,,,Unité(s),MINI DISJONCTEUR,True,40,1200,0.054,0,True
38106,,,Unité(s),MINI DISJONCTEUR,True,1,1200,0.072,0,True
31394,,,Unité(s),MINI DISJONCTEUR,True,30,2400,0.072,0,True
31395,,,Unité(s),MINI DISJONCTEUR,True,30,1600,0.072,0,True
31396,,,Unité(s),MINI DISJONCTEUR,True,30,2400,0.072,0,True
31397,,,Unité(s),MINI DISJONCTEUR,True,30,1500,0.072,0,True
31398,,,Unité(s),MINI DISJONCTEUR,True,30,1700,0.072,0,True
31399,,,Unité(s),MINI DISJONCTEUR,True,30,2400,0.072,0,True
31400,,,Unité(s),MINI DISJONCTEUR,True,30,1900,0.072,0,True
31401,,,Unité(s),MINI DISJONCTEUR,True,30,2900,0.072,0,True
31402,,,Unité(s),MINI DISJONCTEUR,True,30,1200,0.072,0,True
38105,,,Unité(s),MINI DISJONCTEUR,True,1,2300,0.072,0,True
36493,,,Unité(s),Tous,True,1,1300,0.025,0,True
31403,,,Unité(s),CHROME,True,1,1500,0.019,0,True
31404,,,Unité(s),CHROME,True,1,1100,0.019,0,True
31405,,,Unité(s),CHROME,True,1,1900,0.019,0,True
31406,,,Unité(s),CHROME,True,1,2500,0.019,0,True
31407,,,Unité(s),CHROME,True,1,1400,0.025,0,True
31408,,,Unité(s),CHROME,True,1,3000,0.019,0,True
31409,,,Unité(s),CHROME,True,1,1600,0.019,0,True
31410,,,Unité(s),CHROME,True,1,2200,0.019,0,True
31411,,,Unité(s),CHROME,True,1,2400,0.025,0,True
31412,,,Unité(s),CHROME,True,1,2700,0.019,0,True
31413,,,Unité(s),CHROME,True,1,1400,0.019,0,True
31414,,,Unité(s),CHROME,True,1,1800,0.019,0,True
31415,,,Unité(s),CHROME,True,1,2100,0.025,0,True
31416,,,Unité(s),CHROME,True,1,3000,0.025,0,True
31417,,,Unité(s),CHROME,True,1,2500,0.025,0,True
31418,,,Unité(s),CHROME,True,1,2500,0.025,0,True
42205,,,Unité(s),LAMPE LED MONO,True,1,2800,0,0,True
42206,,,Unité(s),LAMPE LED MONO,True,1,2600,0,0,True
44310,,,Unité(s),TABLEAUX DISTRIBUTION,True,1,1200,0.001,0,True
31419,,,Unité(s),TABLEAUX DISTRIBUTION,True,1,1700,0.001,0,True
33746,,,Unité(s),TABLEAUX DISTRIBUTION,True,1,1900,0.001,0,True
33778,,,Unité(s),TABLEAUX DISTRIBUTION,True,1,2700,0.001,0,True
34654,,,Unité(s),TABLEAUX DISTRIBUTION,True,1,2100,0.001,0,True
34655,,,Unité(s),TABLEAUX DISTRIBUTION,True,1,3000,0.001,0,True
33714,,,Unité(s),Tous,True,1,1100,0,0,True
31420,,,Unité(s),MINI DISJONCTEUR,True,1,1200,0,0,True
34793,,,Unité(s),MINI DISJONCTEUR,True,1,2500,0,0,True
31421,,,Unité(s),MINI DISJONCTEUR,True,1,2100,0.034,0,True
